FID;QRT_VLG_HA;REG;DEPT;CAV;CCRCA;COD_REG;COD_DEPT;COD_CAV;COD_CCRCA;COD_ENTITE;NUM_ZR;COD_SZR;Zone_coron;pourcentag
35;CITE MILLIONNAIRE;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;01;2;301;33;01230133;04700;0123013304700;0,000000000000000;0,000000000000000
36;SAM SAM IB;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;01;2;301;33;01230133;03400;0123013303400;0,000000000000000;0,000000000000000
37;NASSOUROULAYE 1;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;01;2;301;33;01230133;03100;0123013303100;0,000000000000000;0,000000000000000
38;AMDALLAH V;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;01;2;301;33;01230133;03800;0123013303800;0,000000000000000;0,000000000000000
39;SAM SAM III B TOUBA;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;01;2;301;33;01230133;02400;0123013302400;0,000000000000000;0,000000000000000
40;SAM SAM MEDINA;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;01;2;301;33;01230133;02300;0123013302300;0,000000000000000;0,000000000000000
41;LEONA DIMAGUENE;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;01;2;301;33;01230133;01600;0123013301600;0,000000000000000;0,000000000000000
42;DAROU MINAM II;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;01;2;301;33;01230133;01400;0123013301400;0,000000000000000;0,000000000000000
43;Taif  I SUD;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;01;2;301;33;01230133;02000;0123013302000;0,000000000000000;0,000000000000000
44;SICAP EXTESION;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;01;2;301;33;01230133;01800;0123013301800;0,000000000000000;0,000000000000000
45;CITE PASTEUR;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;01;2;301;33;01230133;00500;0123013300500;0,000000000000000;0,000000000000000
46;CITE SICA;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;01;2;301;33;01230133;00400;0123013300400;0,000000000000000;0,000000000000000
47;FASS MBAO I;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;01;2;301;33;01230133;01000;0123013301000;0,000000000000000;0,000000000000000
48;FASS MBAO III;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;01;2;301;33;01230133;00800;0123013300800;0,000000000000000;0,000000000000000
49;MEDINA MARENE;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;01;2;301;33;01230133;04100;0123013304100;0,000000000000000;0,000000000000000
50;CITE TOUBA FASS MBAO;DAKAR;PIKINE;THIAROYE;DIAMAGUENE SICAP MBAO;01;2;301;33;01230133;00200;0123013300200;0,000000000000000;0,000000000000000
