Région;Département;COM ARRT/VILLE;COMMUNE;QUARTIERS/VILLAGES;QUARTIER/VILLAGE/HAMEAU;CONCESSION;MENAGE;HOMMES;FEMMES;POPULATION
DAKAR;PIKINE;AR. PIKINE DAGOUDANE;PIKINE OUEST;;;;;29024;28216;57240
DAKAR;PIKINE;AR. PIKINE DAGOUDANE;PIKINE EST;;;;;16932;15785;32717
DAKAR;PIKINE;AR. PIKINE DAGOUDANE;PIKINE SUD;;;;;25038;24050;49088
DAKAR;PIKINE;AR. PIKINE DAGOUDANE;DALIFORD;;;;;20051;19045;39096
DAKAR;PIKINE;AR. PIKINE DAGOUDANE;DJIDAH THIAROYE KAO;;;;;52104;48024;100128
DAKAR;PIKINE;AR. PIKINE DAGOUDANE;GUINAW RAIL NORD;;;;;15611;14692;30303
DAKAR;PIKINE;AR. PIKINE DAGOUDANE;GUINAW RAIL SUD;;;;;20801;19384;40185
DAKAR;PIKINE;AR. THIAROYE;THIAROYE /MER;;;;;31102;29977;61079
DAKAR;PIKINE;AR. THIAROYE;DIACK SAO;;;;;21263;19629;40892
DAKAR;PIKINE;AR. THIAROYE;DIAMAGUENE/SICAP M’BAO;;;;;71923;67453;139376
DAKAR;PIKINE;AR. THIAROYE;THIAROYE GARE;;;;;12821;12216;25037
DAKAR;PIKINE;AR. THIAROYE;M’BAO;;;;;73661;75795;149456
