Région;Département;COM ARRT/VILLE;COMMUNE;QUARTIERS/VILLAGES;QUARTIER/VILLAGE/HAMEAU;CONCESSION;MENAGE;HOMMES;FEMMES;POPULATION
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;ABDOU KA;;182;250;1103;1122;2225
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;ABDOU NDIAYE;;183;298;1010;987;1997
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;AÏNOUMADY;;279;473;1915;1873;3788
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;ARAFAT;;80;199;649;689;1338
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;CITE MANDELA;;76;79;197;197;394
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;CITE MILLIONNAIRE;;39;72;237;243;480
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;CITE SABE;;52;86;348;314;662
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;CITE SOBOA;;13;14;71;76;147
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;CITE SOTRAC;;165;299;1152;1164;2316
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;DAROU MINAM;;343;510;1982;1957;3939
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;DAROU RAHMANE;;443;619;2652;2706;5358
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;DAROU SALAM;;560;937;3296;3325;6621
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;DAROU SALAM II;;63;70;226;203;429
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;DIACKSAO;;7;7;42;31;73
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;DIACKSAO I;;345;539;2427;2431;4858
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;DIACKSAO II;;472;741;3036;3127;6163
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;DIAMAGUENE;;207;286;1137;1143;2280
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;FASS MBAO;;390;513;1950;1962;3912
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;HAMDALLAY I;;74;86;390;366;756
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;HAMDALLAY II;;81;143;639;622;1261
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;HAMDALLAY IV;;203;341;1376;1365;2741
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;HAMDALLAY V;;103;146;718;668;1386
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;MEDINA FASS II;;108;178;742;723;1465
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;MEDINA FASS MBAO;;555;752;3115;3079;6194
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;MEDINATOUL MOUNAWARA;;13;20;72;98;170
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;MISSIRAH DIAMAGUENE;;115;178;797;754;1551
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;MOUSDALIFA;;16;23;97;100;197
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;MOUSSA DIAME;;26;39;156;167;323
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;MOUSSA NDIAYE;;151;236;1017;838;1855
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;MOUSTAPHA MBOUP;;73;111;422;468;890
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;NASSOUROULAHI;;69;97;492;430;922
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;HAMDALLAYE V (NDIOGOU GUENE);;91;118;549;566;1115
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;OUSMANE DIOUF;;65;82;346;377;723
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;SAM SAM I;;925;1430;5787;5828;11615
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;SAM SAM II;;231;305;1498;1433;2931
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;SAM SAM III;;684;992;3824;3986;7810
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;SAMBA DRAME;;169;292;1043;1020;2063
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;SAMBA SY;;28;44;153;165;318
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;SICAP MBAO;;479;590;1940;2089;4029
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;TAÏF I;;329;526;2114;1961;4075
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;TOUBA KHAÏRA;;74;98;468;499;967
DAKAR;PIKINE;CA DIAMAGUENE SICAP MBAO;;NASSOUROULAYE II;;86;114;611;607;1218
;;;;;;;;;;103555
